銘柄コード,銘柄名,業種
4088,エア・ウォーター,化学
4091,日本酸素ホールディングス,化学
4151,協和キリン,医薬品
4182,三菱瓦斯化学,化学
4183,三井化学,化学
4186,東京応化工業,化学
4188,三菱ケミカルグループ,化学
4189,ＫＨネオケム,化学
4194,ビジョナル,情報・通信業
4202,ダイセル,化学
4203,住友ベークライト,化学
4204,積水化学工業,化学
4307,野村総合研究所,情報・通信業
4368,扶桑化学工業,化学
4401,ADEKA,化学
4403,日油,化学
4452,花王,化学
4502,武田薬品工業,医薬品
4503,アステラス製薬,医薬品
4507,塩野義製薬,医薬品
4516,日本新薬,医薬品
4519,中外製薬,医薬品
4523,エーザイ,医薬品
4527,ロート製薬,医薬品
4528,小野薬品工業,医薬品
4543,テルモ,精密機器
4568,第一三共,医薬品
4578,大塚ホールディングス,医薬品
4587,ペプチドリーム,医薬品
4612,日本ペイントホールディングス,化学
4613,関西ペイント,化学
4626,太陽ホールディングス,化学
4661,オリエンタルランド,サービス業
4680,ラウンドワン,サービス業
4684,オービック,情報・通信業
4686,ジャストシステム,情報・通信業
4689,LINEヤフー,情報・通信業
4694,ビー・エム・エル,サービス業
4704,トレンドマイクロ,情報・通信業
4716,日本オラクル,情報・通信業
4722,フューチャー,情報・通信業
4732,ユー・エス・エス,サービス業
4751,サイバーエージェント,サービス業
4768,大塚商会,情報・通信業
4812,電通総研,情報・通信業
4816,東映アニメーション,情報・通信業
4901,富士フイルムホールディングス,化学
4911,資生堂,化学
4912,ライオン,化学
4967,小林製薬,化学
4974,タカラバイオ,化学
4980,デクセリアルズ,化学
5019,出光興産,石油・石炭製品
5020,ENEOSホールディングス,石油・石炭製品
5021,コスモエネルギーホールディングス,石油・石炭製品
5076,インフロニア・ホールディングス,建設業
5101,横浜ゴム,ゴム製品
5105,ＴＯＹＯ ＴＩＲＥ,ゴム製品
5108,ブリヂストン,ゴム製品
5110,住友ゴム工業,ゴム製品
5201,AGC,ガラス・土石製品
5301,東海カーボン,ガラス・土石製品
5332,TOTO,ガラス・土石製品
5333,日本碍子,ガラス・土石製品
5334,日本特殊陶業,ガラス・土石製品
5344,ＭＡＲＵＷＡ,ガラス・土石製品
5384,フジミインコーポレーテッド,ガラス・土石製品
5393,ニチアス,ガラス・土石製品
5401,日本製鉄,鉄鋼
5406,神戸製鋼所,鉄鋼
5411,ＪＦＥホールディングス,鉄鋼
5423,東京製鐵,鉄鋼
5444,大和工業,鉄鋼
5463,丸一鋼管,鉄鋼
5471,大同特殊鋼,鉄鋼
5480,日本冶金工業,鉄鋼
5706,三井金属鉱業,非鉄金属
5713,住友金属鉱山,非鉄金属
5714,ＤＯＷＡホールディングス,非鉄金属
5802,住友電気工業,非鉄金属
5803,フジクラ,非鉄金属
5857,AREホールディングス,非鉄金属
5929,三和ホールディングス,金属製品
5947,リンナイ,金属製品
5991,日本発條,金属製品
6005,三浦工業,機械
6028,テクノプロ・ホールディングス,サービス業
6055,ジャパンマテリアル,サービス業
6098,リクルートホールディングス,サービス業
6101,ツガミ,機械
6113,アマダ,機械
6141,DMG森精機,機械
6146,ディスコ,機械
6183,ベルシステム２４ホールディングス,サービス業
6201,豊田自動織機,輸送用機器
6254,野村マイクロ・サイエンス,機械
6268,ナブテスコ,機械
6273,SMC,機械
6301,小松製作所,機械
6302,住友重機械工業,機械
6305,日立建機,機械
6315,ＴＯＷＡ,機械
6323,ローツェ,機械
6326,クボタ,機械
6361,荏原製作所,機械
6367,ダイキン工業,機械
6368,オルガノ,機械
6383,ダイフク,機械
6417,SANKYO,機械
6432,竹内製作所,機械
6448,ブラザー工業,電気機器
6460,セガサミーホールディングス,機械
6465,ホシザキ,機械
6479,ミネベアミツミ,電気機器
6501,日立製作所,電気機器
6503,三菱電機,電気機器
6504,富士電機,電気機器
6506,安川電機,電気機器
6532,ベイカレント・コンサルティング,サービス業
6544,ジャパンエレベーターサービスホールディングス,サービス業
6586,マキタ,機械
6632,ＪＶＣケンウッド,電気機器
6645,オムロン,電気機器
6670,ＭＣＪ,電気機器
6701,日本電気,電気機器
6702,富士通,電気機器
6723,ルネサスエレクトロニクス,電気機器
6724,セイコーエプソン,電気機器
6728,アルバック,電気機器
6752,パナソニック　ホールディングス,電気機器
6758,ソニーグループ,電気機器
6762,TDK,電気機器
6787,メイコー,電気機器
6806,ヒロセ電機,電気機器
6841,横河電機,電気機器
6845,アズビル,電気機器
6849,日本光電工業,電気機器
6856,堀場製作所,電気機器
6857,アドバンテスト,電気機器
6861,キーエンス,電気機器
6869,シスメックス,電気機器
6890,フェローテックホールディングス,電気機器
6902,デンソー,輸送用機器
6920,レーザーテック,電気機器
6951,日本電子,電気機器
6954,ファナック,電気機器
6963,ローム,電気機器
6965,浜松ホトニクス,電気機器
6966,三井ハイテック,電気機器
6967,新光電気工業,電気機器
6971,京セラ,電気機器
6976,太陽誘電,電気機器
6981,村田製作所,電気機器
6988,日東電工,化学
7011,三菱重工業,機械
7071,アンビスホールディングス,サービス業
7105,三菱ロジスネクスト,輸送用機器
7148,ＦＰＧ,証券、商品先物取引業
7164,全国保証,その他金融業
7167,めぶきフィナンシャルグループ,銀行業
7186,コンコルディア・フィナンシャルグループ,銀行業
7202,いすゞ自動車,輸送用機器
7203,トヨタ自動車,輸送用機器
7211,三菱自動車工業,輸送用機器
7242,カヤバ,輸送用機器
7259,アイシン,輸送用機器
7261,マツダ,輸送用機器
7267,本田技研工業,輸送用機器
7269,スズキ,輸送用機器
7270,ＳＵＢＡＲＵ,輸送用機器
7272,ヤマハ発動機,輸送用機器
7276,小糸製作所,電気機器
7282,豊田合成,輸送用機器
7309,シマノ,輸送用機器
7419,ノジマ,小売業
7453,良品計画,小売業
7459,メディパルホールディングス,卸売業
7518,ネットワンシステムズ,情報・通信業
7532,パン・パシフィック・インターナショナルホールディングス,小売業
7550,ゼンショーホールディングス,小売業
7564,ワークマン,小売業
7599,IDOM,卸売業
7649,スギホールディングス,小売業
7701,島津製作所,精密機器
7716,ナカニシ,精密機器
7729,東京精密,精密機器
7733,オリンパス,精密機器
7735,SCREENホールディングス,電気機器
7741,HOYA,精密機器
7744,ノーリツ鋼機,精密機器
7747,朝日インテック,精密機器
7751,キヤノン,電気機器
7762,シチズン時計,精密機器
7826,フルヤ金属,その他製品
7832,バンダイナムコホールディングス,その他製品
7846,パイロットコーポレーション,その他製品
7912,大日本印刷,その他製品
7936,アシックス,その他製品
7944,ローランド,その他製品
7951,ヤマハ,その他製品
7974,任天堂,その他製品
7988,ニフコ,化学
8001,伊藤忠商事,卸売業
8002,丸紅,卸売業
8015,豊田通商,卸売業
8020,兼松,卸売業
8031,三井物産,卸売業
8035,東京エレクトロン,電気機器
8053,住友商事,卸売業
8056,BIPROGY,情報・通信業
8058,三菱商事,卸売業
8060,キヤノンマーケティングジャパン,卸売業
8078,阪和興業,卸売業
8088,岩谷産業,卸売業
8098,稲畑産業,卸売業
8111,ゴールドウイン,繊維製品
8113,ユニ・チャーム,化学
8133,伊藤忠エネクス,卸売業
8136,サンリオ,卸売業
8154,加賀電子,卸売業
8174,日本瓦斯,小売業
8194,ライフコーポレーション,小売業
8227,しまむら,小売業
8252,丸井グループ,小売業
8253,クレディセゾン,その他金融業
8279,ヤオコー,小売業
8306,三菱UFJフィナンシャル・グループ,銀行業
8308,りそなホールディングス,銀行業
8309,三井住友トラスト・ホールディングス,銀行業
8316,三井住友フィナンシャルグループ,銀行業
8331,千葉銀行,銀行業
8354,ふくおかフィナンシャルグループ,銀行業
8410,セブン銀行,銀行業
8411,みずほフィナンシャルグループ,銀行業
8424,芙蓉総合リース,その他金融業
8425,みずほリース,その他金融業
8439,東京センチュリー,その他金融業
8473,ＳＢＩホールディングス,証券、商品先物取引業
8570,イオンフィナンシャルサービス,その他金融業
8572,アコム,その他金融業
8584,ジャックス,その他金融業
8591,オリックス,その他金融業
8593,三菱HCキャピタル,その他金融業
8601,大和証券グループ本社,証券、商品先物取引業
8604,野村ホールディングス,証券、商品先物取引業
8630,ＳＯＭＰＯホールディングス,保険業
8697,日本取引所グループ,その他金融業
8698,マネックスグループ,証券、商品先物取引業
8725,MS＆ADインシュアランスグループホールディングス,保険業
8750,第一生命ホールディングス,保険業
8766,東京海上ホールディングス,保険業
8801,三井不動産,不動産業
8802,三菱地所,不動産業
8804,東京建物,不動産業
8830,住友不動産,不動産業
8850,スターツコーポレーション,不動産業
8890,レーサム,不動産業
8919,カチタス,不動産業
9006,京浜急行電鉄,陸運業
9007,小田急電鉄,陸運業
9022,東海旅客鉄道,陸運業
9024,西武ホールディングス,陸運業
9041,近鉄グループホールディングス,陸運業
9064,ヤマトホールディングス,陸運業
9065,山九,陸運業
9069,センコーグループホールディングス,陸運業
9090,AZ-COM丸和ホールディングス,陸運業
9101,日本郵船,海運業
9104,商船三井,海運業
9107,川崎汽船,海運業
9110,ＮＳユナイテッド海運,海運業
9119,飯野海運,海運業
9143,ＳＧホールディングス,陸運業
9147,NIPPON EXPRESSホールディングス,陸運業
9302,三井倉庫ホールディングス,倉庫・運輸関連業
9418,Ｕ−ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,情報・通信業
9432,日本電信電話,情報・通信業
9433,KDDI,情報・通信業
9434,ソフトバンク,情報・通信業
9435,光通信,情報・通信業
9449,GMOインターネットグループ,情報・通信業
9502,中部電力,電気・ガス業
9503,関西電力,電気・ガス業
9508,九州電力,電気・ガス業
9513,電源開発,電気・ガス業
9531,東京瓦斯,電気・ガス業
9532,大阪瓦斯,電気・ガス業
9602,東宝,情報・通信業
9613,NTTデータグループ,情報・通信業
9684,スクウェア・エニックス・ホールディングス,情報・通信業
9697,カプコン,情報・通信業
9715,トランス・コスモス,サービス業
9719,SCSK,情報・通信業
9735,セコム,サービス業
9744,メイテックグループホールディングス,サービス業
9759,ＮＳＤ,情報・通信業
9766,コナミグループ,情報・通信業
9787,イオンディライト,サービス業
9843,ニトリホールディングス,小売業
9962,ミスミグループ本社,卸売業
9983,ファーストリテイリング,小売業
9989,サンドラッグ,小売業
